# x_m,y_m
-16.158756,733.315084
-14.680697,728.540207
-13.202704,723.765317
-11.724779,718.990416
-10.246921,714.215503
-8.769132,709.440579
-7.291411,704.665644
-5.813759,699.890699
-4.336177,695.115742
-2.858665,690.340775
-1.381223,685.565798
0.096148,680.790811
1.573448,676.015814
3.050676,671.240808
4.527831,666.465792
6.004914,661.690767
7.481924,656.915734
8.958860,652.140691
10.435722,647.365640
11.912509,642.590581
13.389222,637.815514
14.865859,633.040438
16.342420,628.265355
17.818905,623.490265
19.295313,618.715167
20.771644,613.940063
22.247897,609.164951
23.724072,604.389834
25.200168,599.614709
26.676185,594.839579
28.152123,590.064442
29.627980,585.289300
31.103758,580.514152
32.579454,575.738999
34.055071,570.963841
35.530648,566.188683
37.006249,561.413532
38.481943,556.638396
39.957795,551.863282
41.433873,547.088199
42.910242,542.313154
44.386971,537.538154
45.864126,532.763208
47.341772,527.988323
48.819979,523.213506
50.298811,518.438766
51.778335,513.664110
53.258619,508.889545
54.739730,504.115080
56.221733,499.340722
57.704697,494.566479
59.188686,489.792358
60.673769,485.018367
62.160012,480.244514
63.647482,475.470807
65.136245,470.697253
66.626369,465.923859
68.117780,461.150613
69.604646,456.376615
71.073455,451.599790
72.510161,446.817978
73.900717,442.029020
75.231079,437.230758
76.484779,432.420425
77.544193,427.569881
78.156085,422.616969
78.060572,417.516222
77.042527,412.521625
74.922386,408.125097
71.568447,404.787384
67.207529,402.680635
62.231977,401.843761
57.041085,402.309462
52.124365,404.028706
48.040517,406.889772
45.278638,410.756564
43.812374,415.328502
43.388980,420.232759
43.730819,425.166258
44.469063,430.093016
45.213857,435.040622
45.695975,440.024251
45.902705,445.032692
45.854169,450.051355
45.570485,455.065649
45.071773,460.060985
44.378165,465.022808
43.511601,469.942843
42.497884,474.826215
41.363314,479.679772
40.134192,484.510361
38.836818,489.324828
37.496593,494.129782
36.126191,498.928420
34.728859,503.721415
33.307620,508.509383
31.865496,513.292936
30.405511,518.072689
28.930688,522.849255
27.444050,527.623249
25.948621,532.395284
24.447423,537.165974
22.943479,541.935933
21.439813,546.705775
19.938900,551.476006
18.441089,556.246710
16.946217,561.017871
15.454118,565.789472
13.964627,570.561496
12.477581,575.333926
10.992813,580.106747
9.510161,584.879940
8.029458,589.653490
6.550541,594.427379
5.073244,599.201591
3.597402,603.976109
2.122852,608.750916
0.649429,613.525996
-0.823033,618.301331
-2.294698,623.076906
-3.765730,627.852702
-5.236295,632.628705
-6.706557,637.404896
-8.176680,642.181259
-9.646830,646.957777
-11.117171,651.734434
-12.587868,656.511213
-14.059073,661.288095
-15.530856,666.065044
-17.003245,670.842021
-18.476270,675.618983
-19.949962,680.395888
-21.424350,685.172696
-22.899463,689.949364
-24.375333,694.725851
-25.851987,699.502115
-27.329457,704.278115
-28.807772,709.053809
-30.286961,713.829155
-31.767055,718.604113
-33.248083,723.378640
-34.730075,728.152695
-36.213062,732.926236
-37.697071,737.699221
-39.182134,742.471610
-40.668281,747.243360
-42.155540,752.014430
-43.643942,756.784779
-45.133517,761.554364
-46.624294,766.323145
-48.116241,771.091110
-49.608373,775.858725
-51.098964,780.626826
-52.586265,785.396260
-54.068530,790.167874
-55.544012,794.942513
-57.010963,799.721024
-58.467637,804.504254
-59.912285,809.293048
-61.343161,814.088253
-62.758518,818.890717
-64.156608,823.701284
-65.546155,828.516152
-66.978963,833.312392
-68.517911,838.062153
-70.225880,842.737589
-72.165750,847.310849
-74.401626,851.751610
-77.048414,855.926835
-80.288933,859.566183
-84.293190,862.398665
-88.964416,864.289107
-93.998270,865.207999
-99.089980,865.131421
-103.971034,864.055654
-108.388803,861.985828
-112.102812,858.935522
-115.041114,855.035629
-117.255456,850.503141
-118.774923,845.562938
-119.454699,840.480132
-119.077413,835.536622
-117.550038,830.934596
-115.235221,826.584504
-112.598816,822.330431
-109.967295,818.063248
-107.381060,813.769848
-104.845393,809.448913
-102.365577,805.099127
-99.946893,800.719171
-97.594625,796.307727
-95.314054,791.863478
-93.110463,787.385107
-90.989134,782.871294
-88.955350,778.320723
-87.014393,773.732075
-85.170920,769.104252
-83.421150,764.439107
-81.755234,759.740613
-80.163192,755.012793
-78.635044,750.259667
-77.160811,745.485256
-75.730512,740.693581
-74.334167,735.888664
-72.961795,731.074524
-71.603417,726.255184
-70.249053,721.434664
-68.888722,716.616986
-67.514493,711.805333
-66.126099,706.999768
-64.725061,702.199618
-63.312904,697.404213
-61.891149,692.612883
-60.461319,687.824957
-59.024938,683.039765
-57.583527,678.256635
-56.138610,673.474899
-54.691710,668.693884
-53.244348,663.912921
-51.798030,659.131347
-50.353608,654.348795
-48.911128,649.565261
-47.470589,644.780764
-46.031986,639.995323
-44.595318,635.208957
-43.160580,630.421685
-41.727769,625.633527
-40.296884,620.844501
-38.867919,616.054625
-37.440874,611.263921
-36.015743,606.472405
-34.592525,601.680098
-33.171216,596.887018
-31.751813,592.093185
-30.334313,587.298617
-28.918713,582.503334
-27.505010,577.707354
-26.093201,572.910697
-24.683283,568.113381
-23.275252,563.315426
-21.869107,558.516850
-20.464842,553.717674
-19.062482,548.917909
-17.666820,544.116590
-16.292984,539.310623
-14.957455,534.496638
-13.676714,529.671264
-12.467240,524.831130
-11.345471,519.972874
-10.319783,515.094581
-9.380991,510.197495
-8.517604,505.283274
-7.718126,500.353575
-6.971066,495.410056
-6.265416,490.454393
-5.597234,485.488503
-4.967925,480.514493
-4.379024,475.534469
-3.832065,470.550542
-3.328583,465.564819
-2.870113,460.579410
-2.458190,455.596423
-2.094350,450.617967
-1.780127,445.646150
-1.517055,440.683082
-1.306572,435.730699
-1.146336,430.784399
-1.029146,425.831155
-0.947480,420.857388
-0.893815,415.849517
-0.860628,410.793962
-0.842480,405.678424
-0.914169,400.539959
-1.254301,395.479476
-2.048373,390.602126
-3.481887,386.013059
-5.740340,381.817425
-8.971214,378.134849
-13.044146,375.190743
-17.705462,373.257468
-22.697299,372.523871
-27.709759,371.978521
-32.307240,370.085140
-35.809697,366.754081
-38.100484,362.412552
-39.337349,357.558975
-39.707702,352.604395
-39.505506,347.633973
-39.048887,342.657124
-38.561069,337.680444
-38.067049,332.704645
-37.566977,327.729704
-37.061004,322.755597
-36.549280,317.782299
-36.031957,312.809786
-35.509186,307.838034
-34.981117,302.867018
-34.447901,297.896715
-33.909689,292.927099
-33.366632,287.958148
-32.818881,282.989836
-32.266587,278.022139
-31.709900,273.055033
-31.148972,268.088494
-30.583953,263.122498
-30.014994,258.157020
-29.442247,253.192036
-28.865861,248.227522
-28.285988,243.263454
-27.702779,238.299806
-27.116384,233.336556
-26.526955,228.373679
-25.934659,223.411149
-25.339728,218.448930
-24.742410,213.486987
-24.142952,208.525282
-23.541602,203.563780
-22.938607,198.602444
-22.334215,193.641237
-21.728672,188.680124
-21.122228,183.719066
-20.515128,178.758028
-19.907621,173.796974
-19.299953,168.835867
-18.692373,163.874669
-18.085128,158.913346
-17.478466,153.951860
-16.872633,148.990175
-16.267877,144.028254
-15.664447,139.066060
-15.062588,134.103558
-14.462549,129.140711
-13.864577,124.177482
-13.268920,119.213835
-12.675825,114.249733
-12.085459,109.285158
-11.497400,104.320224
-10.910972,99.355103
-10.325497,94.389968
-9.740296,89.424991
-9.154691,84.460344
-8.568003,79.496200
-7.979555,74.532731
-7.388667,69.570108
-6.794662,64.608506
-6.196861,59.648095
-5.594597,54.689046
-4.989358,49.731167
-4.387391,44.773457
-3.795580,39.814813
-3.220809,34.854128
-2.669961,29.890297
-2.149920,24.922214
-1.667569,19.948774
-1.229793,14.968871
-0.843474,9.981399
-0.515496,4.985253
