# x_m,y_m
181.915582,-741.537355
182.490885,-746.508731
183.063942,-751.480137
183.634576,-756.451580
184.200930,-761.423357
184.759874,-766.395989
185.308247,-771.370002
185.842887,-776.345923
186.360632,-781.324276
186.857286,-786.305585
187.313875,-791.290344
187.700394,-796.279021
187.986570,-801.272085
188.142133,-806.270006
188.136812,-811.273252
187.942432,-816.279337
187.538772,-821.274558
186.907497,-826.242555
186.030275,-831.166965
184.888770,-836.031426
183.464648,-840.819577
181.745135,-845.514959
179.738133,-850.100764
177.456351,-854.560099
174.912499,-858.876072
172.119286,-863.031790
169.089443,-867.010540
165.836380,-870.801442
162.374323,-874.400613
158.717545,-877.804584
154.880320,-881.009886
150.876921,-884.013050
146.721623,-886.810607
142.428699,-889.399087
138.012422,-891.775022
133.487067,-893.934943
128.866906,-895.875381
124.166215,-897.592867
119.398166,-899.080661
114.568852,-900.310977
109.681558,-901.247683
104.739564,-901.854630
99.746150,-902.095668
94.704593,-901.934647
89.624860,-901.374841
84.559061,-900.668010
79.575684,-900.162466
74.771089,-900.234160
70.336440,-901.352448
66.479593,-903.998180
63.060784,-907.814141
59.354168,-910.978494
55.154935,-912.352306
50.598948,-911.698080
45.747917,-909.886391
40.650986,-907.981649
35.510519,-906.443353
30.784727,-904.720931
26.955211,-902.183003
24.483324,-898.533029
23.538887,-893.917728
22.989527,-889.042860
21.950082,-884.430769
19.895716,-880.409106
16.484804,-877.188088
12.182863,-874.459104
7.681026,-871.768535
3.479308,-868.792060
-0.386896,-865.519691
-3.951435,-861.988285
-7.248158,-858.234703
-10.310915,-854.295802
-13.172279,-850.207557
-15.843733,-845.991361
-18.319451,-841.656636
-20.593097,-837.212452
-22.658334,-832.667880
-24.508828,-828.031987
-26.138240,-823.313844
-27.540235,-818.522520
-28.708475,-813.667086
-29.636626,-808.756610
-30.318350,-803.800161
-30.747310,-798.806811
-30.918181,-793.787279
-30.829815,-788.759124
-30.482148,-783.741673
-29.875112,-778.754252
-29.008643,-773.816187
-27.882674,-768.946805
-26.508279,-764.158084
-24.941718,-759.432186
-23.250712,-754.743714
-21.502978,-750.067271
-19.766238,-745.377459
-18.106837,-740.649440
-16.538339,-735.879846
-15.006068,-731.093070
-13.450821,-726.315345
-11.813393,-721.572905
-10.034581,-716.891985
-8.055556,-712.299034
-5.831443,-707.828538
-3.335115,-703.525207
-0.540597,-699.434411
2.578088,-695.601521
6.046915,-692.071909
9.883376,-688.886390
14.045329,-686.053760
18.465060,-683.569087
23.074757,-681.427385
27.806608,-679.623666
32.592801,-678.152945
37.377296,-676.993868
42.184443,-676.013310
47.072189,-675.031426
52.011224,-673.827586
56.651394,-672.031940
60.569964,-669.242314
63.486192,-665.315504
65.403490,-660.626557
66.359121,-655.612250
66.435488,-650.620352
65.872116,-645.688803
64.941807,-640.788376
63.810768,-635.914320
62.438497,-631.109343
60.760789,-626.421598
58.713436,-621.899237
56.232232,-617.590411
53.265340,-613.536370
49.908742,-609.695874
46.355722,-605.973384
42.801279,-602.272403
39.440408,-598.496437
36.468108,-594.548990
34.064023,-590.341055
32.230380,-585.870151
30.855432,-581.189382
29.825558,-576.352767
29.027134,-571.414327
28.346546,-566.428075
27.693601,-561.436806
27.052803,-556.447531
26.423510,-551.460143
25.805082,-546.474534
25.196876,-541.490597
24.598251,-536.508226
24.008568,-531.527313
23.427185,-526.547751
22.853460,-521.569433
22.286752,-516.592251
21.726422,-511.616100
21.171826,-506.640871
20.622325,-501.666458
20.077278,-496.692753
19.536042,-491.719650
18.997978,-486.747041
18.462444,-481.774819
17.928799,-476.802877
17.396402,-471.831108
16.864612,-466.859405
16.332787,-461.887661
15.800288,-456.915768
15.266475,-451.943621
14.730967,-446.971153
14.193813,-441.998370
13.655105,-437.025285
13.114936,-432.051909
12.573399,-427.078254
12.030586,-422.104332
11.486588,-417.130155
10.941499,-412.155736
10.395410,-407.181086
9.848414,-402.206217
9.300604,-397.231141
8.752071,-392.255871
8.202909,-387.280418
7.653208,-382.304794
7.103063,-377.329012
6.552564,-372.353083
6.001805,-367.377020
5.450878,-362.400834
4.899874,-357.424537
4.348887,-352.448142
3.798009,-347.471660
3.247332,-342.495104
2.696948,-337.518486
2.146950,-332.541817
1.597430,-327.565110
1.048480,-322.588376
0.500193,-317.611628
-0.047338,-312.634877
-0.594023,-307.658136
-1.139767,-302.681417
